country,port_name,locode
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Belgium,Blankenberge,BEBBG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Norway,Bogen,NOBOG
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
Canada,Borden,CABOR
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
France,Boulogne-sur-Mer,FRBOL
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
Croatia,Brbinj,HRBRB
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
